# MLB Redraft Points Rankings
# Rotoballer - Nicklaus Gaut 
# 3/10/2025
Rank,Player
1,Shohei Ohtani
2,Bobby Witt Jr.
3,Jose Ramirez
4,Aaron Judge
5,Juan Soto
6,Vladimir Guerrero Jr.
7,Gunnar Henderson
8,Francisco Lindor
9,Kyle Tucker
10,Corbin Carroll
11,Elly De La Cruz
12,Mookie Betts
13,Tarik Skubal
14,Yordan Alvarez
15,William Contreras
16,Bryce Harper
17,Zack Wheeler
18,Paul Skenes
19,Freddie Freeman
20,Fernando Tatis Jr.
21,Matt Olson
22,Austin Riley
23,Logan Gilbert
24,Ketel Marte
25,Trea Turner
26,Pete Alonso
27,Manny Machado
28,Rafael Devers
29,Adley Rutschman
30,Dylan Cease
31,Julio Rodriguez
32,Jackson Chourio
33,Framber Valdez
34,Jackson Merrill
35,Kyle Schwarber
36,Corey Seager
37,Pablo Lopez
38,Cole Ragans
39,Jarren Duran
40,Willy Adames
41,Jazz Chisholm Jr.
42,Alex Bregman
43,Corbin Burnes
44,Blake Snell
45,Logan Webb
46,Cal Raleigh
47,Salvador Perez
48,Garrett Crochet
49,Luis Castillo
50,Ronald Acuna Jr.
51,Yainer Diaz
52,Josh Naylor
53,Aaron Nola
54,Anthony Santander
55,Marcell Ozuna
56,Chris Sale
57,Willson Contreras
58,CJ Abrams
59,Michael King
60,Brent Rooker
61,Ozzie Albies
62,Marcus Semien
63,Vinnie Pasquantino
64,Jose Altuve
65,Matt Chapman
66,Shota Imanaga
67,Edwin Diaz
68,Tanner Bibee
69,Kevin Gausman
70,Oneil Cruz
71,Will Smith
72,Freddy Peralta
73,Michael Harris II
74,Bryan Reynolds
75,Wyatt Langford
76,Dansby Swanson
77,Teoscar Hernandez
78,Christian Walker
79,Ezequiel Tovar
80,Sonny Gray
81,Ian Happ
82,Hunter Brown
83,Spencer Schwellenbach
84,Emmanuel Clase
85,Bailey Ober
86,Justin Steele
87,Max Fried
88,Zac Gallen
89,Yandy Diaz
90,Jeremy Pena
91,Joe Ryan
92,Alec Bohm
93,Yusei Kikuchi
94,Shea Langeliers
95,Lawrence Butler
96,Bryce Miller
97,Yoshinobu Yamamoto
98,Bo Bichette
99,Riley Greene
100,Masyn Winn
101,Josh Hader
102,Xavier Edwards
103,Jake Burger
104,Taylor Ward
105,Ryan Helsley
106,Carlos Rodon
107,Seth Lugo
108,Paul Goldschmidt
109,Steven Kwan
110,Anthony Volpe
111,Raisel Iglesias
112,Triston Casas
113,Mark Vientos
114,Randy Arozarena
115,Logan O'Hoppe
116,Luis Arraez
117,Cody Bellinger
118,Isaac Paredes
119,James Wood
120,Reynaldo Lopez
121,Jose Berrios
122,Brenton Doyle
123,Hunter Greene
124,Nolan Arenado
125,Tyler Glasnow
126,Jordan Westburg
127,Mason Miller
128,Jack Flaherty
129,George Kirby
130,Devin Williams
131,Taj Bradley
132,Andrew Vaughn
133,MacKenzie Gore
134,Luis Garcia (2B)
135,Xander Bogaerts
136,Gleyber Torres
137,Cristopher Sanchez
138,Kodai Senga
139,Nick Castellanos
140,Seiya Suzuki
141,Eugenio Suarez
142,Jared Jones
143,Matt McLain
144,Zach Eflin
145,Junior Caminero
146,Bryson Stott
147,Tanner Houck
148,Sandy Alcantara
149,Andres Gimenez
150,Nick Pivetta
151,Mitch Keller
152,Nathan Eovaldi
153,Chris Bassitt
154,Luis Robert Jr.
155,Ryan McMahon
156,Nathaniel Lowe
157,Gabriel Moreno
158,Jhoan Duran
159,J.T. Realmuto
160,Christian Yelich
161,Ronel Blanco
162,Ryan Pepiot
163,George Springer
164,Carlos Correa
165,Austin Wells
166,Zach Neto
167,Brice Turang
168,Ryan Walker
169,Dylan Crews
170,Brandon Pfaadt
171,Shane McClanahan
172,Michael Toglia
173,Max Muncy
