# NBA Redraft Categories Rankings
# FantasyPros - ECR 
# 10/17/2024
Rank,Player
1,Nikola Jokic
2,Victor Wembanyama
3,Luka Doncic
4,Shai Gilgeous-Alexander
5,Joel Embiid
6,Jayson Tatum
7,Anthony Davis
8,Tyrese Haliburton
9,Trae Young
10,Giannis Antetokounmpo
11,Stephen Curry
12,Anthony Edwards
13,Domantas Sabonis
14,Donovan Mitchell
15,Devin Booker
16,James Harden
17,Damian Lillard
18,Kevin Durant
19,Jalen Brunson
20,Kyrie Irving
21,LaMelo Ball
22,LeBron James
23,Karl-Anthony Towns
24,Scottie Barnes
25,Chet Holmgren
26,Paul George
27,Lauri Markkanen
28,Tyrese Maxey
29,De'Aaron Fox
30,Fred VanVleet
31,Dejounte Murray
32,Ja Morant
33,Cade Cunningham
34,Alperen Sengun
35,Bam Adebayo
36,Kawhi Leonard
37,Desmond Bane
38,DeMar DeRozan
39,Evan Mobley
40,Jaren Jackson Jr.
41,Immanuel Quickley
42,Jalen Williams
43,Jimmy Butler III
44,Paolo Banchero
45,Jalen Johnson
46,Derrick White
47,Franz Wagner
48,Jaylen Brown
49,Jamal Murray
50,Pascal Siakam
51,Darius Garland
52,Mikal Bridges
53,Jarrett Allen
54,Myles Turner
55,Nikola Vucevic
56,Zion Williamson
57,Miles Bridges
58,Josh Giddey
59,Tobias Harris
60,Cam Thomas
61,Jalen Duren
62,Deandre Ayton
63,Zach LaVine
64,D'Angelo Russell
65,Brandon Miller
66,Julius Randle
67,Tyler Herro
68,Rudy Gobert
69,Anfernee Simons
70,Austin Reaves
71,Bradley Beal
72,Jrue Holiday
73,Jordan Poole
74,Brandon Ingram
75,Isaiah Hartenstein
76,Bogdan Bogdanovic
77,Kyle Kuzma
78,Jabari Smith Jr.
79,Michael Porter Jr.
80,Coby White
81,Keegan Murray
82,OG Anunoby
83,Nic Claxton
84,CJ McCollum
85,Jalen Suggs
86,Jonas Valanciunas
87,Devin Vassell
88,Ivica Zubac
89,Collin Sexton
90,Jonathan Kuminga
91,Alex Caruso
92,Terry Rozier
93,Herbert Jones
94,Jalen Green
95,Tyus Jones
96,Draymond Green
97,Jakob Poeltl
98,Khris Middleton
99,Naz Reid
100,Jusuf Nurkic
101,Amen Thompson
102,Brandin Podziemski
103,Brook Lopez
104,Mark Williams
105,Klay Thompson
106,Mike Conley
107,Walker Kessler
108,Keyonte George
109,Onyeka Okongwu
110,RJ Barrett
111,Donte DiVincenzo
112,Marcus Smart
113,Chris Paul
114,John Collins
115,Dereck Lively II
116,Daniel Gafford
117,Bobby Portis Jr.
118,Josh Hart
119,Malik Monk
120,Trey Murphy III
121,Buddy Hield
122,Dennis Schroder
123,Cameron Johnson
124,Jerami Grant
125,Deni Avdija
126,Kristaps Porzingis
127,Norman Powell
128,Trayce Jackson-Davis
129,P.J. Washington Jr.
130,Scoot Henderson
131,Kentavious Caldwell-Pope
132,Clint Capela
133,Grayson Allen
134,Aaron Gordon
135,Shaedon Sharpe
136,Jaden Ivey
137,Jeremy Sochan
138,Max Strus
139,Ausar Thompson
140,T.J. McConnell
141,De'Anthony Melton
142,Gary Trent Jr.
143,Aaron Nesmith
144,Kelly Olynyk
145,Jaime Jaquez Jr.
146,Wendell Carter Jr.
147,Kelly Oubre Jr.
148,Andrew Nembhard
149,Al Horford
150,Zach Edey
151,Tari Eason
152,Russell Westbrook III
153,Keldon Johnson
154,Rui Hachimura
155,Taylor Hendricks
156,Andrew Wiggins
157,Malcolm Brogdon
158,Alex Sarr
159,Caris LeVert
160,Keon Ellis
161,Ayo Dosunmu
162,Tre Jones
163,Jonathan Isaac
164,Jordan Clarkson
165,Jaden McDaniels
166,Terance Mann
167,Nick Richards
168,Dyson Daniels
169,Bennedict Mathurin
170,Payton Pritchard
171,Patrick Williams
172,Caleb Martin
173,De'Andre Hunter
174,Luguentz Dort
175,Royce O'Neale
