# NBA Redraft Points Rankings
# FantasyPros - ECR 
# 10/17/2024
Rank,Player
1,Victor Wembanyama
2,Nikola Jokic
3,Luka Doncic
4,Giannis Antetokounmpo
5,Shai Gilgeous-Alexander
6,Anthony Davis
7,Joel Embiid
8,Domantas Sabonis
9,Jayson Tatum
10,Trae Young
11,Anthony Edwards
12,LeBron James
13,Tyrese Haliburton
14,Ja Morant
15,Scottie Barnes
16,Paolo Banchero
17,James Harden
18,Jalen Brunson
19,LaMelo Ball
20,Donovan Mitchell
21,Alperen Sengun
22,Devin Booker
23,Kevin Durant
24,De'Aaron Fox
25,Damian Lillard
26,Stephen Curry
27,Bam Adebayo
28,Cade Cunningham
29,Karl-Anthony Towns
30,Chet Holmgren
31,Tyrese Maxey
32,Zion Williamson
33,Jaylen Brown
34,Pascal Siakam
35,Dejounte Murray
36,Kyrie Irving
37,Lauri Markkanen
38,Jalen Johnson
39,Nikola Vucevic
40,Evan Mobley
41,Julius Randle
42,Paul George
43,Jaren Jackson Jr.
44,DeMar DeRozan
45,Rudy Gobert
46,Fred VanVleet
47,Franz Wagner
48,Desmond Bane
49,Jamal Murray
50,Kawhi Leonard
51,Jimmy Butler III
52,Miles Bridges
53,Kyle Kuzma
54,Immanuel Quickley
55,Cam Thomas
56,Jalen Williams
57,Josh Giddey
58,Jarrett Allen
59,Jalen Duren
60,Brandon Ingram
61,Jalen Green
62,Zach LaVine
63,Myles Turner
64,Jordan Poole
65,Tyler Herro
66,Darius Garland
67,Nic Claxton
68,RJ Barrett
69,Deandre Ayton
70,Brandon Miller
71,Mikal Bridges
72,Derrick White
73,Tobias Harris
74,D'Angelo Russell
75,Jonathan Kuminga
76,Anfernee Simons
77,Bradley Beal
78,Austin Reaves
79,Jusuf Nurkic
80,Coby White
81,Ivica Zubac
82,CJ McCollum
83,Terry Rozier
84,Jonas Valanciunas
85,Devin Vassell
86,Jakob Poeltl
87,Jaden Ivey
88,Jabari Smith Jr.
89,Michael Porter Jr.
90,Aaron Gordon
91,Deni Avdija
92,Isaiah Hartenstein
93,Jrue Holiday
94,Amen Thompson
95,Jerami Grant
96,Collin Sexton
97,Keegan Murray
98,Bogdan Bogdanovic
99,Clint Capela
100,Naz Reid
101,Scoot Henderson
102,Jeremy Sochan
103,Draymond Green
104,Mark Williams
105,Walker Kessler
106,Khris Middleton
107,Josh Hart
108,Bobby Portis Jr.
109,John Collins
110,Keyonte George
111,Brook Lopez
112,Brandin Podziemski
113,Dereck Lively II
114,Tyus Jones
115,OG Anunoby
116,Trayce Jackson-Davis
117,Trey Murphy III
118,Kristaps Porzingis
119,Norman Powell
120,Russell Westbrook III
121,Daniel Gafford
122,Dennis Schroder
123,Jalen Suggs
124,Marcus Smart
125,Klay Thompson
126,Andrew Wiggins
127,Malik Monk
128,P.J. Washington Jr.
129,Donte DiVincenzo
130,Mike Conley
131,Onyeka Okongwu
132,Chris Paul
133,Zach Edey
134,Ausar Thompson
135,Buddy Hield
136,Herbert Jones
137,Wendell Carter Jr.
138,Tari Eason
139,Cameron Johnson
140,Jordan Clarkson
141,Caris LeVert
142,Kelly Oubre Jr.
143,Keldon Johnson
144,Alex Sarr
145,Rui Hachimura
146,Kelly Olynyk
147,Shaedon Sharpe
148,Alex Caruso
149,Max Strus
150,Bennedict Mathurin
151,Patrick Williams
152,Jaime Jaquez Jr.
153,Corey Kispert
154,Malcolm Brogdon
155,Kevin Porter Jr.
156,Terance Mann
157,Grayson Allen
158,De'Anthony Melton
159,Jalen Smith
160,Taylor Hendricks
161,Mitchell Robinson
162,Gary Trent Jr.
163,Christian Braun
164,Tre Jones
165,Andre Drummond
166,T.J. McConnell
167,De'Andre Hunter
168,Ayo Dosunmu
169,Kentavious Caldwell-Pope
170,Dyson Daniels
171,Andrew Nembhard
172,Jaden McDaniels
173,Cole Anthony
174,Nick Richards
175,Spencer Dinwiddie
176,Aaron Nesmith
177,Al Horford
178,Zaccharie Risacher
179,Bilal Coulibaly
180,Ben Simmons
181,Kyle Anderson
182,Dillon Brooks
183,Luguentz Dort
184,Payton Pritchard
185,Caleb Martin
186,Harrison Barnes
187,Matas Buzelis
188,Marvin Bagley III
189,Stephon Castle
190,Jonathan Isaac
191,Gradey Dick
192,Reed Sheppard
193,Grant Williams
194,Duncan Robinson
195,Bruce Brown Jr.
196,Cam Whitmore
197,Obi Toppin
198,Zach Collins
199,Bojan Bogdanovic
200,Donovan Clingan
201,Malik Beasley
202,Noah Clowney
203,Ron Holland II
204,Moritz Wagner
205,Peyton Watson
206,Royce O'Neale
207,Rob Dillingham
208,Jarred Vanderbilt
209,Dorian Finney-Smith
210,Carlton Carrington
211,Kel'el Ware
212,Day'Ron Sharpe
213,Vince Williams Jr.
214,Isaiah Stewart
215,Kevin Huerter
216,Miles McBride
217,Josh Green
218,Nikola Jovic
219,Precious Achiuwa
220,Josh Richardson
221,Cason Wallace
222,Davion Mitchell
223,Isaiah Jackson
224,Simone Fontecchio
225,Brandon Clarke
226,Reggie Jackson
227,Delon Wright
228,Saddiq Bey
229,Sam Hauser
230,Luke Kennard
231,Kyle Lowry
232,Nickeil Alexander-Walker
233,Taurean Prince
234,Tim Hardaway Jr.
235,Kris Dunn
236,Steven Adams
237,Mason Plumlee
238,Dario Saric
239,Bones Hyland
240,Pat Connaughton
241,Paul Reed
242,Anthony Black
243,Derrick Jones Jr.
244,Goga Bitadze
245,Keon Ellis
246,Jose Alvarado
247,Yves Missi
248,Karlo Matkovic
249,Daniel Theis
250,Kyle Filipowski
251,Isaac Okoro
252,Xavier Tillman Sr.
253,Dalton Knecht
254,Julian Strawther
255,Jaden Hardy
256,Jared McCain
257,Marcus Sasser
258,Gabe Vincent
259,Santi Aldama
260,Scotty Pippen Jr.
261,James Wiseman
262,Lonzo Ball
263,Eric Gordon
264,Robert Williams III
265,Jaylon Tyson
266,GG Jackson II
267,Ziaire Williams
268,Christian Wood
269,Tre Mann
270,Isaiah Collier
271,Nicolas Batum
272,Torrey Craig
273,Alec Burks
274,Killian Hayes
275,Devin Carter
276,Dillon Jones
277,Cody Williams
278,Kevon Looney
279,Toumani Camara
280,Duop Reath
281,Cameron Payne
282,Tristan da Silva
283,Baylor Scheierman
284,Brice Sensabaugh
285,Shake Milton
286,Mo Bamba
287,Monte Morris
288,Kevin Love
289,Malaki Branham
290,Trey Lyles
291,Nikola Topic
292,Cody Martin
293,Georges Niang
294,Jevon Carter
295,Luke Kornet
296,Matisse Thybulle
297,Larry Nance Jr.
298,Isaiah Joe
299,Sam Merrill
300,Moses Moody
301,Jabari Walker
302,Talen Horton-Tucker
303,Ochai Agbaji
304,Terrence Shannon Jr.
305,Drew Eubanks
306,Kobe Bufkin
307,Jarace Walker
308,Josh Okogie
309,Naji Marshall
310,Chris Boucher
311,Aaron Wiggins
312,John Konchar
313,Jalen Wilson
314,KJ Martin Jr.
315,Dalano Banton
316,David Roddy
317,Seth Curry
318,Ryan Dunn
319,DaRon Holmes II
320,Jaylin Williams
321,Jordan Hawkins
322,Vasilije Micic
323,Neemias Queta
324,Dwight Powell
325,Quentin Grimes
326,Dante Exum
327,Ja'Kobe Walter
328,Jonathan Mogbo
329,Richaun Holmes
330,Kyshawn George
331,Julian Champagnie
332,Dean Wade
333,Malachi Flynn
334,Skylar Mays
335,Amir Coffey
336,Landry Shamet
337,Damion Lee
338,Johnny Davis
339,Ben Sheppard
340,Max Christie
341,Dennis Smith Jr.
342,Shaquille Harrison
343,Kenrich Williams
344,Markelle Fultz
345,AJ Griffin
346,Jaxson Hayes
347,Haywood Highsmith
348,Patrick Beverley
349,Thomas Bryant
350,Tidjane Salaun
351,Gary Payton II
352,Guerschon Yabusele
353,Jock Landale
354,Keon Johnson
355,Craig Porter Jr.
356,Leonard Miller
357,Jake LaRavia
358,Jericho Sims
359,Joe Ingles
360,Gary Harris
361,Johnny Furphy
362,Josh Minott
363,Alex Len
364,Jordan McLaughlin
365,Trey Jemison III
366,Maxi Kleber
367,Cam Reddish
368,Bol Bol
369,Chris Duarte
370,Tyler Smith
371,Jaden Springer
372,Charles Bassey
373,Bobi Klintman
374,Zeke Nnaji
375,Jeremiah Robinson-Earl
376,DeAndre Jordan
377,Johnny Juzang
378,MarJon Beauchamp
379,Jay Huff
380,Derrick Rose
381,Dariq Whitehead
382,Andre Jackson Jr.
383,Trendon Watford
384,Jamal Cain
385,Nick Smith Jr.
386,Tristan Vukcevic
387,Devonte' Graham
388,Adem Bona
389,Blake Wesley
390,Orlando Robinson
391,Jalen McDaniels
392,Jeff Green
393,Ariel Hukporti
394,Jordan Walsh
395,Kris Murray
396,Garrison Mathews
397,Cory Joseph
398,Caleb Houstan
399,David Jones
400,Ousmane Dieng
401,Pelle Larsson
402,Aaron Holiday
403,Keita Bates-Diop
404,AJ Green
405,Nassir Little
406,Dru Smith
407,Olivier-Maxence Prosper
408,Jason Preston
409,Matt Ryan
410,Jett Howard
411,Anthony Gill
412,Dalen Terry
413,KJ Simpson
414,Ricky Council IV
415,P.J. Tucker
416,Vlatko Cancar
417,Adama Sanogo
418,PJ Dozier
419,Garrett Temple
420,Juan Nunez
421,Emoni Bates
422,Kai Jones
423,Luka Garza
424,Jamal Shead
425,Bronny James
426,Colby Jones
427,Cam Christie
428,Jalen Hood-Schifino
429,Vit Krejci
430,Tyler Kolek
431,Pacome Dadiet
432,Sandro Mamukelashvili
433,Moussa Diabate
434,Ryan Rollins
435,Cody Zeller
436,Gui Santos
437,Quinten Post
