Name
Ronald Acuna Jr.
George Kirby
Roman Anthony
Grayson Rodriguez
Carson Williams
Leodalis De Vries
Walker Jenkins
Shane McClanahan
Eury Perez
Andrew Painter
Noah Schultz
Royce Lewis
Jordan Lawlar
Samuel Basallo
Sebastian Walcott
Travis Bazzana
JJ Wetherholt
Josue De Paula
Max Clark
Jared Jones
Bubba Chandler
Francisco Alvarez
Chase Burns
Zack Gelof
Bryce Eldridge
Marcelo Mayer
Colt Emerson
Christian Moore
Coby Mayo
Justin Crawford
Jaison Chourio
Aidan Miller
Jesus Made
Parker Meadows
Nick Kurtz
Felnin Celesten
Konnor Griffin
Jac Caglianone
Evan Carter
Tink Hence
Emil Morales
Gerrit Cole
Ha-Seong Kim
Ryan Weathers
DJ Herz
Quinn Mathews
Dalton Rushing
Termarr Johnson
Zyhir Hope
Hagen Smith
Thomas White
Travis Sykora
Shane Bieber
Chase DeLauter
Lazaro Montes
Jacob Melton
Kevin Alcantara
Charlie Condon
Braden Montgomery
Kevin McGonigle
Jett Williams
Jonny Farmelo
Brandon Sproat
Tyler Stephenson
Cody Bradford
Ranger Suarez
Tobias Myers
Sean Manaea
Brandon Woodruff
Kyle Bradish
Ronny Mauricio
Spencer Jones
Kutter Crawford
Cade Horton
Moises Ballesteros
Colson Montgomery
Brice Matthews
Owen Caissie
Orelvis Martinez
Jacob Misiorowski
Josue Briceno
Jarlin Susana
Ethan Salas
Brady House
Deyvison De Los Santos
Joe Musgrove
Colby Thomas
Denzel Clarke
Ryan Clifford
Cam Collier
Xavier Isaac
Rhett Lowder
Zebby Matthews
Moises Chace
Brock Wilken
Ralphy Velazquez
Cole Young
Michael Arroyo
Ricky Tiedemann
Tommy Troy
Arjun Nimmala
Dylan Beavers
Brandon Winokur
Eric Bitonti
Aidan Smith
Cooper Pratt
Welbyn Francisca
Robert Calaz
Joendry Vargas
Eduardo Quintero
Bryce Rainer
Braylon Payne
Theo Gillen
Kyle Harrison
Braxton Ashcraft
Grant Taylor
Alejandro Rosario
Trey Yesavage
Jhostynxon Garcia
Brayden Taylor
Alfredo Duno
Harry Ford
Yu Darvish
Lucas Giolito
Frankie Montas
Aaron Ashby
Spencer Horwitz
Nick Yorke
Yoeilin Cespedes
Alex Freeland
Franklin Arias
Demetrio Crisantes
Druw Jones
Joe Mack
Jeferson Quero
Thayron Liranzo
Eduardo Tait
Blake Mitchell
Bryan Ramos
Tyler Locklear
CJ Kayfus
Tre’ Morgan
Luke Adams
James Triantos
Seaver King
Slade Caldwell
Ryan Waldschmidt
Carson Benge
Jurrangelo Cijntje
Griffin Burkholder
Hye-seong Kim
Jackson Ferris
Enrique Bradfield
Matt Vierling
Daulton Varsho
Gavin Stone
Christian Scott
Emmet Sheehan
Sal Stewart
Tai Peete
Staryln Caba
Angel Genoa
Roderick Arias
Joswa Lugo
Kellon Lindsey
Josuar Gonzalez
Brailer Guerrero
Yilber Diaz
Noble Meyer
George Lombard
Giancarlo Stanton
George Klassen
Winston Santos
Jonah Tong
Edwin Arroyo
Cade Cavalli
Matthew Lugo
Gavin Cross
Masataka Yoshida
Joey Loperfido
Echedry Vargas
Braxton Garrett
Cam Caminiti
Tyson Lewis
Caleb Bonemer
Yordanny Monegro
Luis Morales
Gary Gill Hill
Santiago Suarez
Kaelen Culpepper
Henry Bolte
Elijah Green
George Wolkow
Vance Honeycutt
James Tibbs III
Eduardo Beltre
Yorger Bautista
Jordan Montgomery
Mason Barnett
Sawyer Gipson-Long
River Ryan
Hurston Waldrep
Logan Evans
Jaden Hamm
Brody Hopkins
Yoniel Curet
Owen Murphy
JR Ritchie
Emiliano Teodo
Ben Hess
Jonathan Santucci
Ryan Sloan
Kale Fountain
Luke Dickerson
PJ Morlando
Elian Pena
Cole Carrigg
Ty Johnson
Hyun-Seok Jang
Daniel Espino
Juan Brito
Thairo Estrada
Jerar Encarnacion
Everson Pereira
Drew Gilbert
Wilfred Veras
Miguel Bleis
Yophery Rodriguez
Yanquiel Fernandez
Paulino Santana
Kash Mayfield
Jason Foley
David Robertson
Shay Whitcomb
Marco Luciano
Gabriel Rincones
Jefferson Rojas
Jeral Perez
Jonathon Long
Jesus Baez
Pablo Guerrero
Adrian Del Castillo
Carter Jensen
Abimelec Ortiz
Chase Davis
Billy Amick
Tommy White
Blake Burke
Austin Charles
Jhonny Severino
Jeremy Rodriguez
John Gil
Jhonny Level
Yolfran Castillo
Tyler Black
Charles McAdoo
Dante Nori
Nelson Rada
Jared Thomas
Tytus Cissell
JD Dix
Luis Cova
Cris Rodriguez
Dorian Soto
Jon Gray
Tony Gonsolin
Lance McCullers Jr.
Cristian Javier
Drew Thorpe
Steven Zobac
Chase Petty
Carson Whisenhunt
Hunter Barco
Mike Burrows
Jackson Baumeister
Malcolm Moore
Shotaro Morii
Levi Sterling
Mike Sirota
Chase Harlan
Rodney Green
Trevor Harrison
Jedixson Paez
Chen-Wei Lin
Kendry Rojas
Dylan Lesko
Clayton Kershaw
Michael McGreevy
David Sandlin
Yeremi Cabrera
Andres Valor
Braylin Morel
Walker Martin
Elvin Garcia
Yairo Padilla
Sam Aldgheri
Luis Campusano
Chayce McDermott
Brandon Birdsell
Robert Gasser
Drue Hackenburg
Blade Tidwell
Nolan McLean
Michael Forret
Charlee Soto
Parker Messick
Matt Wilkinson
Boston Bateman
Blake Larson
Gage Jump
Yassel Soler
Carter Johnson
Kyle DeBarge
David Coronil
Braylin Antunez
Kenny Fenelon
Cobb Hightower
Noah Cameron
Michael Kopech
Leonardo Bernal
Creed Willems
Johanfran Garcia
Edgleen Perez
Kyle Karros
Jack Brannigan
Robby Snelling
Alex Clemmey
KC Hunt
Cooper Hjerpe
Joey Oakie
Braylon Doughty
Jairo Iriarte
Michael Kennedy
Drew Romo
Dominic Keegan
Jake Bloss
Adam Mazur
Kohl Drake
Nate Dohm
Eloy Jimenez
Mike Boeve
J.D. Martinez
DJ LeMahieu
Mitch Haniger
Jeff McNeil
David Fry
Mike Siani
Darell Hernaiz
Alejandro Osuna
Kahlil Watson
Luis Guanipa
Yohandy Morales
Cayden Wallace
Gino Groover
George Valera
Kala’i Rosario
Nacho Alvarez
Ricardo Cabrera
Jansel Luis
Max Acosta
Andrew Salas
Aaron Parker
Cole Messina
Carson DeMartini
Chase Hampton
Robert Stephenson
Rece Hinds
Mac Horvath
Jud Fabian
Colton Ledbetter
Dylan Dreiling
Dakota Jordan
Cole Mathis
Eddie Rynders
Luis Merejo
Will Simpson
Rayner Arias
Khal Stephen
David Shields
Luis Lara
Kendall George
Lisbel Diaz
Dasan Hill
Payton Tolle
Ryan Forcucci
Bryce Cunningham
Chase Mobley
Johnny King
Owen Hall
Kevin Alvarez
Nelson Velazquez
Eguy Rosario
Payton Eeles
Billy Cook
Cooper Bowman
Homer Bush Jr.
Jonatan Clase
Hao-Yu Lee
Eiberson Castellano
Connor Prielipp
Tekoah Roby
Henry Lalane
Ty Floyd
Kannon Kemp
Brody Brecht
Luke Holman
Trey Gregory-Alford
Brendan Tunink
Jimmy Crooks
Ramon Ramirez
Rainiel Rodriguez
Edward Florentino
Justin Gonzales
Teilon Serrano
Royel Strop
Maykel Coret
Caleb Lomavita
Andres Chaparro
Jared Serna
Devin Saltiban
Mikey Romero
Cooper Kinney
Vaughn Grissom
William Bergolla Jr.
Cameron Cauley
Jakob Christian
Kavares Tears
Wilfri De La Cruz
Alejandro Cruz
Harold Rivas
Diego Tornes
Rafael Flores
Manny Cedeno
Cristopher Polanco
Nieves Izaguirre
Conrad Cason
Niko Kavadas
Daniel Susac
Sammy Stafura
Aroon Escobar
Griff O'Ferrall
Daiber De Los Santos
Walker Janek
Johan De Los Santos
Ayden Johnson
Ty Southisene
Jose Perdomo
Didier Fuentes
Victor Lizarraga
Brian Holiday
Ethan Anderson
Jacob Cozart
Gabriel Davalillo
Bryce Meccage
Drew Beam
Emelien Pitre
Aiden May
Joshua Kuroda-Grauer
Ethan Schiefelbein
Landen Maroudis
Kyle Wright
Jack Perkins
Franyerber Montillo
Josh Kasevich
Robert Hassell
Grant McCray
Jadher Areinamo
Dillon Head
Pedro Leon
Bo Davidson
Dedniel Nunez
Michell Otanez
Gus Varland
Derek Law
Nathan Martorella
Hector Rodriguez
Gabriel Gonzalez
Samuel Zavala
Ching-Hsien Ko
Juan Sanchez
Larry Suero
Raymer Medina
Warel Soriano
Trey Snyder
Ronny Cruz
Juan Cabata
Brayan Cortesia
Ramcell Medina
Juan Tomas
Darwin Ozuna
Ian Seymour
Troy Melton
Connelly Early
Nestor German
Josh Knoth
Blaze Jordan
Nick McLain
Yasser Mercedes
Casey Saucke
Gage Miller
Eli Lovich
Zander Mueth
Dylan Jordan
Juan Valera
Axiel Plaz
Cooper Ingle
Kevin Bazzell
Stiven Martinez
Jose Anderson
Warren Calcano
Elian De La Cruz
Carlos Taveras
Carlos Renzullo
Liberts Aponte
Kenly Hunter
Ruben Castillo
Jacob Gonzalez
Shinnosuke Ogasawara
Damiano Palmegiani
Ivan Melendez
Anthony Rizzo
Prelander Berroa
Anthony Rendon
